Report Date,Crime Category,count
2009-03-09,Burglary,20
2009-03-09,Larceny-From Vehicle,28
2009-03-09,Larceny-Non Vehicle,27
2009-03-09,Robbery,8
2009-03-10,Agg Assault,4
2009-03-10,Auto Theft,13
2009-03-10,Burglary,20
2009-03-10,Larceny-From Vehicle,30
2009-03-10,Larceny-Non Vehicle,24
2009-03-10,Robbery,8
2009-03-11,Agg Assault,10
2009-03-11,Auto Theft,12
2009-03-11,Burglary,16
2009-03-11,Larceny-From Vehicle,21
2009-03-11,Larceny-Non Vehicle,27
2009-03-11,Robbery,9
2009-03-12,Agg Assault,8
2009-03-12,Auto Theft,22
2009-03-12,Burglary,23
2009-03-12,Larceny-From Vehicle,27
2009-03-12,Larceny-Non Vehicle,14
2009-03-12,Robbery,1
2009-03-13,Agg Assault,5
2009-03-13,Auto Theft,18
2009-03-13,Burglary,23
2009-03-13,Larceny-From Vehicle,29
2009-03-13,Larceny-Non Vehicle,23
2009-03-13,Robbery,4
2009-03-14,Agg Assault,4
2009-03-14,Auto Theft,17
2009-03-14,Burglary,16
2009-03-14,Larceny-From Vehicle,30
2009-03-14,Larceny-Non Vehicle,19
2009-03-14,Robbery,7
2009-03-15,Agg Assault,5
2009-03-15,Auto Theft,25
2009-03-15,Burglary,8
2009-03-15,Larceny-From Vehicle,19
2009-03-15,Larceny-Non Vehicle,12
2009-03-15,Robbery,5
2009-03-16,Agg Assault,9
2009-03-16,Auto Theft,23
2009-03-16,Burglary,21
2009-03-16,Larceny-From Vehicle,24
2009-03-16,Larceny-Non Vehicle,21
2009-03-16,Robbery,10
2009-03-17,Agg Assault,7
2009-03-17,Auto Theft,16
2009-03-17,Burglary,25
2009-03-17,Larceny-From Vehicle,29
2009-03-17,Larceny-Non Vehicle,21
2009-03-17,Robbery,4
2009-03-18,Agg Assault,8
2009-03-18,Auto Theft,10
2009-03-18,Burglary,27
2009-03-18,Homicide,1
2009-03-18,Larceny-From Vehicle,23
2009-03-18,Larceny-Non Vehicle,34
2009-03-18,Robbery,4
2009-03-19,Agg Assault,7
2009-03-19,Auto Theft,12
2009-03-19,Burglary,23
2009-03-19,Larceny-From Vehicle,26
2009-03-19,Larceny-Non Vehicle,31
2009-03-19,Robbery,8
2009-03-20,Agg Assault,9
2009-03-20,Auto Theft,18
2009-03-20,Burglary,26
2009-03-20,Larceny-From Vehicle,25
2009-03-20,Larceny-Non Vehicle,27
2009-03-20,Robbery,6
2009-03-21,Agg Assault,11
2009-03-21,Auto Theft,12
2009-03-21,Burglary,17
2009-03-21,Larceny-From Vehicle,24
2009-03-21,Larceny-Non Vehicle,11
2009-03-21,Robbery,9
